,log2fc,p,fdr
Abhd13,0.1842783329721099,0.7389830934034138,0.8987172157626448
Abhd14a,0.04190507985425725,0.7892010002397056,0.9193171072347639
Abhd14b,-0.3546685142167735,0.28357963921001855,0.7637747757727058
Abhd15,0.25067113912703853,0.9142304796700429,0.969559402628108
Abhd16a,-0.7376996096779636,0.27087223929702625,0.7621667439018888
Abhd17a,0.5415384594354419,0.07769458865425195,0.7517629275291794
Abhd17b,0.18549373361422045,0.9452456310698241,0.9822103658911785
Abhd17c,0.18357040318525983,0.7959152948676693,0.9219118269998209
Abhd18,-0.7414805022312072,0.31622693365191656,0.7637747757727058
Abhd2,0.49019172858383997,0.346907243920451,0.7637747757727058
Abhd3,0.6425347893189087,0.9604595905810368,0.9863735039812933
Abhd4,-1.3096329695535747,0.10665627893770432,0.7517629275291794
Abhd5,0.4012984351126948,0.4356984441566062,0.7693646874167788
Abhd6,0.05430390017583246,0.89020077771927,0.961513105286873
Abhd8,-1.6812163164016884,0.17107138714439277,0.7517629275291794
Abi1,0.45532269369644196,0.04308482957696683,0.7517629275291794
Abi2,-0.267729794039266,0.6985298527911619,0.882572031853709
Abi3,-0.00041268782632488527,0.9978027943287195,0.9997203093621786
Abi3bp,0.31307202721263777,0.8816940342603685,0.9582128989866834
Abitram,-0.9117263618111987,0.1704821251414522,0.7517629275291794
Abl1,-0.4062972344608658,0.3218908267843782,0.7637747757727058
Abl2,-0.22613206657786694,0.8079525357395888,0.9267959151202604
Ablim1,-0.8382974839509948,0.27596199820888456,0.7637747757727058
Ablim2,-1.8332305419760335,0.10771107087227332,0.7517629275291794
Ablim3,-3.776707500351215,0.08015901577122271,0.7517629275291794
Abr,0.6689153630677811,0.1906356811474858,0.7517629275291794
Abra,2.9900919850980783,0.42264973081037427,0.7637747757727058
Abracl,1.4522934988071985,0.07128466944610495,0.7517629275291794
Abraxas1,0.8606764263184902,0.25804114013557855,0.7586323021372235
Abraxas2,0.6683264921308933,0.1669946852173432,0.7517629275291794
Abt1,0.3524085716077657,0.02955148987172026,0.7517629275291794
Abtb1,-0.1874881439808985,0.5750794711987375,0.8299162381459184
Abtb2,-0.4242551824049485,0.7462402399836809,0.902560384729953
Abtb3,-2.920935675840106,0.03939063418421421,0.7517629275291794
Acaa1a,-0.5089761888705979,0.39117322929559556,0.7637747757727058
Acaa1b,-0.6798678528705371,0.7839092084243136,0.9161490964042289
Acaa2,-0.2181080609270385,0.5654134967809027,0.8284800986403791
Acaca,-1.0080591304080386,0.12824214159611155,0.7517629275291794
Acacb,-1.7003937021358841,0.0991216240154941,0.7517629275291794
Acad10,0.6055170500176242,0.5380587327221823,0.8137504415509108
Acad11,0.6821278114409967,0.8519352004752159,0.9446064073312825
Acad12,0.610574509805665,0.4810952468480043,0.7912019117193103
Acad8,-0.17449859226355138,0.6475602000578804,0.8612648306398601
Acad9,-0.5970012463853377,0.35151538091929113,0.7637747757727058
Acadl,0.21300988008212274,0.9418741221980989,0.9808267327108406
Acadm,0.3322211073811411,0.3343143324156586,0.7637747757727058
Acads,-0.769933284565406,0.22903521445903624,0.7517629275291794
Acadsb,-0.4652409162231555,0.3715126518031519,0.7637747757727058
Acadvl,0.05996280092982308,0.9492646456353879,0.9834898119966768
Acan,1.0789803568705618,0.345709416967004,0.7637747757727058
Acap1,0.6942261156128278,0.5148797004965322,0.8054222745019053
Acap2,0.03341939676448418,0.9722085792861327,0.989733107687489
Acap3,-1.2987967494613735,0.199105668667011,0.7517629275291794
Acat1,0.41851062107988435,0.05034641285677831,0.7517629275291794
Acat2,0.47969041114594024,0.1500006978256551,0.7517629275291794
Acat3,-1.1002732539511435,0.6829216778673566,0.8760265360213056
Acbd3,0.6805530178904114,0.0846312926188233,0.7517629275291794
Acbd4,-1.087458299704155,0.22755740361714208,0.7517629275291794
Acbd5,0.11050259650547091,0.4494572092317219,0.7754048849473587
Acbd6,0.13762251449045154,0.8646750123242675,0.9503574065145256
Acbd7,-1.5791115631275274,0.21159092244644853,0.7517629275291794
Accs,-0.056864472863411376,0.9322123965440183,0.9767313420546667
Acd,-0.12761503197731466,0.6397095454923223,0.8586350602772419
Ace,-2.4118287364594377,0.22227000362821303,0.7517629275291794
Ace2,-5.290495902668281,0.200076253666402,0.7517629275291794
Acer2,-1.090311123891182,0.6829712428382622,0.8760265360213056
Acer3,0.4161650280914124,0.24034048200399807,0.7524593546480055
Ache,-2.493920937654665,0.07560033139676954,0.7517629275291794
Acin1,0.13578976053525352,0.4403223684699629,0.7711293486525481
Ackr1,-0.7159231223992704,0.3717820366456611,0.7637747757727058
Ackr2,-6.071081093585322,0.18691282955871918,0.7517629275291794
Ackr3,-2.2822292477457213,0.10327449363722332,0.7517629275291794
Ackr4,-2.3514401191326204,0.30898030293969725,0.7637747757727058
Acly,-0.4401505641731177,0.2819488258342851,0.7637747757727058
Acnat1,-0.25319775065084815,0.4960877972338163,0.7985858285867465
Aco1,-0.45857667092967763,0.2164854329621355,0.7517629275291794
Aco2,0.06806047292312278,0.9579498308178358,0.9860121132487117
